id,case_id,customer_id,amount_at_risk,recovered_amount,currency,playbook,verification_source,verified_at,idempotency_key
ledg_0001,REC-0001,cust_016,15412,15412,INR,CHECKOUT_ABANDONMENT,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T08:23:46.851974,idemp_REC-0001_2026-08-26
ledg_0002,REC-0002,cust_058,23136,23136,INR,FAILED_SUBSCRIPTION,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T05:04:46.851974,idemp_REC-0002_2026-08-26
ledg_0006,REC-0006,cust_048,16997,16997,INR,PROMISE_TO_PAY,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T03:16:46.851974,idemp_REC-0006_2026-08-26
ledg_0009,REC-0009,cust_056,28819,28819,INR,FAILED_SUBSCRIPTION,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T05:12:46.851974,idemp_REC-0009_2026-08-26
ledg_0012,REC-0012,cust_042,22355,22355,INR,HINGLISH_RECOVERY,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T17:05:46.851974,idemp_REC-0012_2026-08-26
ledg_0017,REC-0017,cust_035,396827,396827,INR,B2B_OVERDUE_RECEIVABLES,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T00:52:46.851974,idemp_REC-0017_2026-08-26
ledg_0018,REC-0018,cust_027,4457,4457,INR,MANDATE_RETRY,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T05:47:46.851974,idemp_REC-0018_2026-08-26
ledg_0023,REC-0023,cust_057,77848,77848,INR,FAILED_SUBSCRIPTION,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T11:37:46.851974,idemp_REC-0023_2026-08-26
ledg_0027,REC-0027,cust_045,9876,9876,INR,PROMISE_TO_PAY,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T10:16:46.851974,idemp_REC-0027_2026-08-26
ledg_0028,REC-0028,cust_049,30105,30105,INR,PAYMENT_DEGRADATION,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T01:37:46.851974,idemp_REC-0028_2026-08-26
ledg_0029,REC-0029,cust_013,8453,8453,INR,CHECKOUT_ABANDONMENT,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T07:49:46.851974,idemp_REC-0029_2026-08-26
ledg_0031,REC-0031,cust_019,300984,300984,INR,B2B_OVERDUE_RECEIVABLES,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T11:51:46.851974,idemp_REC-0031_2026-08-26
ledg_0034,REC-0034,cust_027,18122,18122,INR,PROMISE_TO_PAY,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T03:02:46.851974,idemp_REC-0034_2026-08-26
ledg_0036,REC-0036,cust_012,6128,6128,INR,CHECKOUT_ABANDONMENT,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T02:46:46.851974,idemp_REC-0036_2026-08-26
ledg_0041,REC-0041,cust_008,23565,23565,INR,PROMISE_TO_PAY,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T04:24:46.851974,idemp_REC-0041_2026-08-26
ledg_0046,REC-0046,cust_007,11806,11806,INR,MANDATE_RETRY,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T01:14:46.851974,idemp_REC-0046_2026-08-26
ledg_0047,REC-0047,cust_030,11305,11305,INR,HINGLISH_RECOVERY,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T14:11:46.851974,idemp_REC-0047_2026-08-26
