id,case_id,timestamp,stage,actor,action,result,details
aud_REC-0001_0,REC-0001,2026-08-24T23:13:46.851974,DETECT,RAZORPAY_GATEWAY,DETECT_PROCESSED,SUCCESS,Processed DETECT for case REC-0001 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0001_1,REC-0001,2026-08-24T23:13:46.851974,DIAGNOSE,RECOVER_AI_ENGINE,DIAGNOSE_PROCESSED,SUCCESS,Processed DIAGNOSE for case REC-0001 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0001_2,REC-0001,2026-08-24T23:13:46.851974,DECIDE_PLAYBOOK,RECOVER_AI_ENGINE,DECIDE_PLAYBOOK_PROCESSED,SUCCESS,Processed DECIDE_PLAYBOOK for case REC-0001 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0001_3,REC-0001,2026-08-26T17:32:46.851974,CHECK_GUARDRAILS,RECOVER_AI_ENGINE,CHECK_GUARDRAILS_PROCESSED,SUCCESS,Processed CHECK_GUARDRAILS for case REC-0001 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0001_4,REC-0001,2026-08-26T17:32:46.851974,EXECUTE_ACTION,RECOVER_AI_ENGINE,EXECUTE_ACTION_PROCESSED,SUCCESS,Processed EXECUTE_ACTION for case REC-0001 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0001_5,REC-0001,2026-08-26T17:32:46.851974,VERIFY,RAZORPAY_GATEWAY,VERIFY_PROCESSED,SUCCESS,Processed VERIFY for case REC-0001 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0001_6,REC-0001,2026-08-26T17:32:46.851974,STOP_OR_ESCALATE,RECOVER_AI_ENGINE,STOP_OR_ESCALATE_PROCESSED,SUCCESS,Processed STOP_OR_ESCALATE for case REC-0001 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0002_0,REC-0002,2026-08-25T14:13:46.851974,DETECT,RAZORPAY_GATEWAY,DETECT_PROCESSED,SUCCESS,Processed DETECT for case REC-0002 (FAILED_SUBSCRIPTION) under guardrail policy.
aud_REC-0002_1,REC-0002,2026-08-25T14:13:46.851974,DIAGNOSE,RECOVER_AI_ENGINE,DIAGNOSE_PROCESSED,SUCCESS,Processed DIAGNOSE for case REC-0002 (FAILED_SUBSCRIPTION) under guardrail policy.
aud_REC-0002_2,REC-0002,2026-08-25T14:13:46.851974,DECIDE_PLAYBOOK,RECOVER_AI_ENGINE,DECIDE_PLAYBOOK_PROCESSED,SUCCESS,Processed DECIDE_PLAYBOOK for case REC-0002 (FAILED_SUBSCRIPTION) under guardrail policy.
aud_REC-0002_3,REC-0002,2026-08-26T18:04:46.851974,CHECK_GUARDRAILS,RECOVER_AI_ENGINE,CHECK_GUARDRAILS_PROCESSED,SUCCESS,Processed CHECK_GUARDRAILS for case REC-0002 (FAILED_SUBSCRIPTION) under guardrail policy.
aud_REC-0002_4,REC-0002,2026-08-26T18:04:46.851974,EXECUTE_ACTION,RECOVER_AI_ENGINE,EXECUTE_ACTION_PROCESSED,SUCCESS,Processed EXECUTE_ACTION for case REC-0002 (FAILED_SUBSCRIPTION) under guardrail policy.
aud_REC-0002_5,REC-0002,2026-08-26T18:04:46.851974,VERIFY,RAZORPAY_GATEWAY,VERIFY_PROCESSED,SUCCESS,Processed VERIFY for case REC-0002 (FAILED_SUBSCRIPTION) under guardrail policy.
aud_REC-0002_6,REC-0002,2026-08-26T18:04:46.851974,STOP_OR_ESCALATE,RECOVER_AI_ENGINE,STOP_OR_ESCALATE_PROCESSED,SUCCESS,Processed STOP_OR_ESCALATE for case REC-0002 (FAILED_SUBSCRIPTION) under guardrail policy.
aud_REC-0003_0,REC-0003,2026-08-25T15:13:46.851974,DETECT,RAZORPAY_GATEWAY,DETECT_PROCESSED,SUCCESS,Processed DETECT for case REC-0003 (B2B_OVERDUE_RECEIVABLES) under guardrail policy.
aud_REC-0003_1,REC-0003,2026-08-25T15:13:46.851974,DIAGNOSE,RECOVER_AI_ENGINE,DIAGNOSE_PROCESSED,SUCCESS,Processed DIAGNOSE for case REC-0003 (B2B_OVERDUE_RECEIVABLES) under guardrail policy.
